Movie Title,Year,Score,Director,Cast,Critics Consensus
13 Assassins,2011,95%,Takashi Miike,"Koji Yakusho, Takayuki Yamada, Yusuke Iseya, Goro Inagaki","Takashi Miike's electric remake of Eiichi Kudo's 1963 period action film is a wild spectacle executed with killer, dizzying panache."
Full Contact,1992,88%,Ringo Lam,"Yun-Fat Chow, Simon Yam, Ann Bridgewater, Anthony Wong",No consensus yet.
Indiana Jones and the Last Crusade,1989,88%,Steven Spielberg,"Harrison Ford, Sean Connery, Alison Doody, Denholm Elliott","Lighter and more comedic than its predecessor, Indiana Jones and the Last Crusade returns the series to the brisk serial adventure of Raiders, while adding a dynamite double act between Harrison Ford and Sean Connery."
Kung Fu Hustle,2005,91%,Stephen Chow,"Stephen Chow, Wah Yuen, Shengyi Huang, Kwok-Kwan Chan","Kung Fu Hustle blends special effects, martial arts, and the Looney Toons to hilarious effect."
A Better Tomorrow,2010,93%,Hae-sung Song,"Yun-Fat Chow, Leslie Cheung, Lung Ti, Young Pao I",No consensus yet.
Iron Man,2008,94%,,"Robert Downey Jr., Terrence Howard, Jeff Bridges, Gwyneth Paltrow","Powered by Robert Downey Jr.'s vibrant charm, Iron Man turbo-charges the superhero genre with a deft intelligence and infectious sense of fun."
The Night Comes For Us,2018,91%,Timo Tjahjanto,"Joe Taslim, Iko Uwais, Julie Estelle, Sunny Pang","A bloody thrill ride designed to test the limits of more squeamish viewers, The Night Comes for Us wields a stylishly violent, action-packed punch."
Logan,2017,93%,James Mangold,"Hugh Jackman, Patrick Stewart, Boyd Holbrook, Stephen Merchant","Hugh Jackman makes the most of his final outing as Wolverine with a gritty, nuanced performance in a violent but surprisingly thoughtful superhero action film that defies genre conventions."
Goldfinger,1964,99%,Guy Hamilton,"Sean Connery, Gert Fröbe, Honor Blackman, Shirley Eaton","Goldfinger is where James Bond as we know him comes into focus - it features one of 007's most famous lines (""A martini. Shaken, not stirred."") and a wide range of gadgets that would become the series' trademark."
Assault on Precinct 13,1976,98%,John Carpenter,"Austin Stoker, Darwin Joston, Gilbert De la Pena, Laurie Zimmer","Lean, taut and compellingly gritty, John Carpenter's loose update of Rio Bravo ranks as a cult action classic and one of the filmmaker's best."
Wonder Woman,2017,93%,Patty Jenkins,"Gal Gadot, Chris Pine, Connie Nielsen, Robin Wright","Thrilling, earnest, and buoyed by Gal Gadot's charismatic performance, Wonder Woman succeeds in spectacular fashion."
Fist of Fury (Jing wu men),1972,83%,,"Bruce Lee, Miao Ker Hsiu, James Tien, Robert Baker",No consensus yet.
Captain America: The Winter Soldier,2014,90%,Joe Russo,"Chris Evans, Samuel L. Jackson, Scarlett Johansson, Anthony Mackie","Suspenseful and politically astute, Captain America: The Winter Soldier is a superior entry in the Avengers canon and is sure to thrill Marvel diehards."
Oldboy,2005,81%,Park Chan-wook,"Choi Min-sik, Gang Hye-jeong, Yoo Ji-tae, Gang Hye-jung","Violent and definitely not for the squeamish, Park Chan-Wook's visceral Oldboy is a strange, powerful tale of revenge."
The French Connection,1971,98%,William Friedkin,"Gene Hackman, Fernando Rey, Roy Scheider, Marcel Bozzuffi","Realistic, fast-paced and uncommonly smart, The French Connection is bolstered by stellar performances by Gene Hackman and Roy Scheider, not to mention William Friedkin's thrilling production."
Furious 7,2015,82%,James Wan,"Vin Diesel, Paul Walker, Jason Statham, Dwayne Johnson","Serving up a fresh round of over-the-top thrills while adding unexpected dramatic heft, Furious 7 keeps the franchise moving in more ways than one."
La Femme Nikita (Nikita),1990,89%,Luc Besson,"Tcheky Karyo, Anne Parillaud, Jeanne Moreau, Jean Reno",A zany out-of-control thriller that gives lead Anne Parillaud a big character arc and plenty of emotional room to work within.
Supercop,1996,96%,Stanley Tong,"Jackie Chan, Maggie Cheung, Kenneth Tsang Kong, Wah Yuen","Blending hand-to-hand combat with breathtaking stunts and slapstick comedy, Supercop reminds us why Jackie Chan is one of the world's great entertainers."
Dirty Harry,1971,89%,Don Siegel,"Clint Eastwood, Andrew Robinson, Harry Guardino, John Mitchum","As tough and taciturn as its no-nonsense hero, Dirty Harry delivers a deceptively layered message without sacrificing an ounce of its solid action impact."
Live Die Repeat: Edge of Tomorrow,2014,91%,Doug Liman,"Tom Cruise, Emily Blunt, Bill Paxton, Jonas Armstrong","Gripping, well-acted, funny, and clever, Edge of Tomorrow offers entertaining proof that Tom Cruise is still more than capable of shouldering the weight of a blockbuster action thriller."
X2: X-Men United,2003,85%,Bryan Singer,"Hugh Jackman, Ian McKellen, Halle Berry, Famke Janssen","Tightly scripted, solidly acted, and impressively ambitious, X2: X-Men United is bigger and better than its predecessor -- and a benchmark for comic sequels in general."
The Fugitive,1993,96%,Andrew Davis,"Harrison Ford, Tommy Lee Jones, Sela Ward, Julianne Moore","Exhilarating and intense, this high-impact chase thriller is a model of taut and efficient formula filmmaking, and it features Harrison Ford at his frantic best."
Black Panther,2018,96%,Ryan Coogler,"Chadwick Boseman, Michael B. Jordan, Lupita Nyong'o, Danai Gurira",Black Panther elevates superhero cinema to thrilling new heights while telling one of the MCU's most absorbing stories -- and introducing some of its most fully realized characters.
Inception,2010,87%,Christopher Nolan,"Leonardo DiCaprio, Ken Watanabe, Joseph Gordon-Levitt, Marion Cotillard","Smart, innovative, and thrilling, Inception is that rare summer blockbuster that succeeds viscerally as well as intellectually."
Braveheart,1995,78%,Mel Gibson,"Mel Gibson, Sophie Marceau, Patrick McGoohan, Catherine McCormack","Distractingly violent and historically dodgy, Mel Gibson's Braveheart justifies its epic length by delivering enough sweeping action, drama, and romance to match its ambition."
Minority Report,2002,90%,Steven Spielberg,"Tom Cruise, Colin Farrell, Samantha Morton, Max von Sydow","Thought-provoking and visceral, Steven Spielberg successfully combines high concept ideas and high octane action in this fast and febrile sci-fi thriller."
Avengers: Endgame,2019,94%,Anthony Russo,"Robert Downey Jr., Mark Ruffalo, Scarlett Johansson, Chris Evans","Exciting, entertaining, and emotionally impactful, Avengers: Endgame does whatever it takes to deliver a satisfying finale to Marvel's epic Infinity Saga."
Dredd,2012,79%,Pete Travis,"Karl Urban, Olivia Thirlby, Wood Harris, Lena Headey","Fueled by bombastic violence and impressive special effects, rooted in self-satire and deadpan humor, Dredd 3D does a remarkable job of capturing its source material's gritty spirit."
The Bourne Identity,2002,83%,Doug Liman,"Matt Damon, Franka Potente, Chris Cooper, Clive Owen","Expertly blending genre formula with bursts of unexpected wit, The Bourne Identity is an action thriller that delivers -- and then some."
Ip Man,2010,86%,Wilson Yip,"Donnie Yen, Hiroyuki Ikeuchi, Simon Yam, Xiong Dailin","At once beholden to the established conventions of the genre and delightfully subversive of them, Ip Man is one of the most exciting -- and refreshingly character-driven -- martial arts films in years."
Face/Off,1997,92%,John Woo,"John Travolta, Nicolas Cage, Joan Allen, Alessandro Nivola","John Travolta and Nicolas Cage play cat-and-mouse (and literally play each other) against a beautifully stylized backdrop of typically elegant, over-the-top John Woo violence."
To Live and Die in L.A.,1985,92%,William Friedkin,"William L. Petersen, Willem Dafoe, John Pankow, Debra Feuer","With coke fiends, car chases, and Wang Chung galore, To Live and Die in L.A. is perhaps the ultimate '80s action/thriller."
The Dark Knight,2008,94%,Christopher Nolan,"Christian Bale, Heath Ledger, Aaron Eckhart, Maggie Gyllenhaal","Dark, complex, and unforgettable, The Dark Knight succeeds not just as an entertaining comic book film, but as a richly thrilling crime saga."
Mission: Impossible Ghost Protocol,2011,93%,Brad Bird,"Tom Cruise, Jeremy Renner, Simon Pegg, Paula Patton","Stylish, fast-paced, and loaded with gripping set pieces, the fourth Mission: Impossible is big-budget popcorn entertainment that really works."
Fast Five,2011,77%,Justin Lin,"Vin Diesel, Paul Walker, Jordana Brewster, Dwayne Johnson","Sleek, loud, and over the top, Fast Five proudly embraces its brainless action thrills and injects new life into the franchise."
Lethal Weapon,1987,80%,Richard Donner,"Mel Gibson, Danny Glover, Gary Busey, Darlene Love","The most successful installment in a phenomenally successful series, Lethal Weapon helped redefine action movies for the 1980s and 1990s."
The Rock,1996,68%,Michael Bay,"Sean Connery, Nicolas Cage, Ed Harris, Michael Biehn","For visceral thrills, it can't be beat. Just don't expect The Rock to engage your brain."
RoboCop,1987,90%,Paul Verhoeven,"Peter Weller, Nancy Allen, Ronny Cox, Kurtwood Smith","While over-the-top and gory, Robocop is also a surprisingly smart sci-fi flick that uses ultraviolence to disguise its satire of American culture."
John Wick: Chapter 2,2017,89%,Chad Stahelski,"Keanu Reeves, John Leguizamo, Bridget Moynahan, Thomas Sadoski","John Wick: Chapter 2 does what a sequel should -- which in this case means doubling down on the non-stop, thrillingly choreographed action that made its predecessor so much fun."
Casino Royale,2006,94%,Martin Campbell,"Daniel Craig, Eva Green, Mads Mikkelsen, Judi Dench","Casino Royale disposes of the silliness and gadgetry that plagued recent James Bond outings, and Daniel Craig delivers what fans and critics have been waiting for: a caustic, haunted, intense reinvention of 007."
Baby Driver,2017,92%,Edgar Wright,"Ansel Elgort, Kevin Spacey, Lily James, Jon Bernthal","Stylish, exciting, and fueled by a killer soundtrack, Baby Driver hits the road and it's gone -- proving fast-paced action movies can be smartly written without sacrificing thrills."
Fist of Legend (Jing wu ying xiong),1994,100%,Gordon Chan,"Jet Li, Paul Chiang, Yasuaki Kurata, Shinobu Nakayama (II)",No consensus yet.
The Killer,1989,98%,John Woo,"Yun-Fat Chow, Sally Yeh, Danny Lee, Kenneth Tsang",The Killer is another hard-boiled action flick from John Woo featuring eye-popping balletic violence and philosophical underpinnings.
The Raid 2,2014,82%,Gareth Evans,"Iko Uwais, Yahan Ruhian, Arifin Putra, Oka Antara","Although its high-energy plot and over-the-top violence may play better with genre aficionados, The Raid 2 definitely delivers more of everything audiences loved about its predecessor."
Enter the Dragon,1973,95%,Robert Clouse,"Bruce Lee, John Saxon, Jim Kelly, Shih Kien","Badass to the max, Enter the Dragon is the ultimate kung-fu movie and fitting (if untimely) Bruce Lee swan song."
Commando,1985,69%,Mark L. Lester,"Arnold Schwarzenegger, Alyssa Milano, Rae Dawn Chong, Dan Hedaya","The ultimate '80s Schwarzenegger movie, replete with a threadbare plot, outsized action, and endless one-liners."
First Blood,1982,85%,Ted Kotcheff,"Sylvester Stallone, Richard Crenna, Brian Dennehy, David Caruso","Much darker and more sensitive than the sequels it spawned, First Blood is a thrilling survival adventure that takes full advantage of Sylvester Stallone's acting skills."
Mission: Impossible Rogue Nation,2015,94%,Christopher McQuarrie,"Tom Cruise, Jeremy Renner, Ving Rhames, Simon Pegg",Mission: Impossible Rogue Nation continues the franchise's thrilling resurgence -- and proves that Tom Cruise remains an action star without equal.
The Terminator,1984,100%,James Cameron,"Arnold Schwarzenegger, Linda Hamilton, Michael Biehn, Paul Winfield","With its impressive action sequences, taut economic direction, and relentlessly fast pace, it's clear why The Terminator continues to be an influence on sci-fi and action flicks."
Gladiator,2000,77%,Ridley Scott,"Russell Crowe, Joaquin Phoenix, Connie Nielsen, Oliver Reed",Ridley Scott and an excellent cast successfully convey the intensity of Roman gladitorial combat as well as the political intrigue brewing beneath.
Kill Bill: Volume 1,2003,85%,Quentin Tarantino,"Uma Thurman, Lucy Liu, Vivica A. Fox, David Carradine",Kill Bill is admittedly little more than a stylish revenge thriller -- albeit one that benefits from a wildly inventive surfeit of style.
Léon: The Professional,1994,74%,Luc Besson,"Jean Reno, Gary Oldman, Natalie Portman, Danny Aiello",Pivoting on the unusual relationship between seasoned hitman and his 12-year-old apprentice -- a breakout turn by young Natalie Portman -- Luc Besson's Léon is a stylish and oddly affecting thriller.
Speed,1994,94%,Jan de Bont,"Keanu Reeves, Dennis Hopper, Sandra Bullock, Joe Morton","A terrific popcorn thriller, Speed is taut, tense, and energetic, with outstanding performances from Keanu Reeves, Dennis Hopper, and Sandra Bullock."
The Legend of Drunken Master (Jui kuen II) (Drunken Fist II),1994,84%,Lau Kar-Leung,"Jackie Chan, Siu Tin Yuen, Jang Lee Hwang, Kau Lam",Jackie Chan sends up some amazing and entertaining fight sequences in The Legend of Drunken Master.
John Wick,2014,86%,David Leitch,"Keanu Reeves, Michael Nyqvist, Alfie Allen, Adrianne Palicki","Stylish, thrilling, and giddily kinetic, John Wick serves as a satisfying return to action for Keanu Reeves -- and what looks like it could be the first of a franchise."
"Crouching Tiger, Hidden Dragon",2001,97%,Ang Lee,"Yun-Fat Chow, Michelle Yeoh, Ziyi Zhang, Chen Chang","The movie that catapulted Ang Lee into the ranks of upper echelon Hollywood filmmakers, Crouching Tiger, Hidden Dragon features a deft mix of amazing martial arts battles, beautiful scenery, and tasteful drama."
Predator,1987,81%,Shane Black,"Boyd Holbrook, Trevante Rhodes, Jacob Tremblay, Keegan-Michael Key","Predator: Part sci-fi, part horror, part action -- all muscle."
The Bourne Ultimatum,2007,92%,Paul Greengrass,"Matt Damon, Julia Stiles, David Strathairn, Scott Glenn","The Bourne Ultimatum is an intelligent, finely tuned non-stop thrill ride. Another strong performance from Matt Damon and sharp camerawork from Paul Greengrass make this the finest installment of the Bourne trilogy."
Total Recall,1990,82%,Paul Verhoeven,"Arnold Schwarzenegger, Rachel Ticotin, Sharon Stone, Ronny Cox","Under Paul Verhoeven's frenetic direction, Total Recall is a fast-paced rush of violence, gore, and humor that never slacks."
Mad Max 2: The Road Warrior,1982,94%,George Miller,"Mel Gibson, Bruce Spence, Vernon Wells, Emil Minty","The Road Warrior is everything a bigger-budgeted Mad Max sequel with should be: bigger, faster, louder, but definitely not dumber."
Heat,1995,87%,Michael Mann,"Al Pacino, Robert De Niro, Val Kilmer, Jon Voight","Though Al Pacino and Robert De Niro share but a handful of screen minutes together, Heat is an engrossing crime drama that draws compelling performances from its stars -- and confirms Michael Mann's mastery of the genre."
The Raid: Redemption,2012,87%,Gareth Evans,"Iko Uwais, Joe Taslim, Doni Alamsyah, Yahan Ruhian","No frills and all thrills, The Raid: Redemption is an inventive action film expertly paced and edited for maximum entertainment."
Mission: Impossible - Fallout,2018,97%,Christopher McQuarrie,"Tom Cruise, Henry Cavill, Ving Rhames, Simon Pegg","Fast, sleek, and fun, Mission: Impossible - Fallout lives up to the ""impossible"" part of its name by setting yet another high mark for insane set pieces in a franchise full of them."
Raiders of the Lost Ark,1981,95%,Steven Spielberg,"Harrison Ford, Karen Allen, Paul Freeman, Wolf Kahler","Featuring bravura set pieces, sly humor, and white-knuckle action, Raiders of the Lost Ark is one of the most consummately entertaining adventure pictures of all time."
Aliens,1986,97%,James Cameron,"Sigourney Weaver, Carrie Henn, Michael Biehn, Paul Reiser","While Alien was a marvel of slow-building, atmospheric tension, Aliens packs a much more visceral punch, and features a typically strong performance from Sigourney Weaver."
Lat sau san taam (Hard-Boiled),1992,94%,John Woo,"Yun-Fat Chow, Tony Leung Chiu Wai, Anthony Wong, Teresa Mo","Boasting impactful action as well as surprising emotional resonance, Hard Boiled is a powerful thriller that hits hard in more ways than one."
The Matrix,1999,88%,Lilly Wachowski,"Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss, Joe Pantoliano","Thanks to the Wachowskis' imaginative vision, The Matrix is a smartly crafted combination of spectacular action and groundbreaking special effects."
Terminator 2: Judgment Day,1991,93%,James Cameron,"Arnold Schwarzenegger, Linda Hamilton, Edward Furlong, Robert Patrick","T2 features thrilling action sequences and eye-popping visual effects, but what takes this sci-fi/ action landmark to the next level is the depth of the human (and cyborg) characters."
Die Hard,1988,94%,John McTiernan,"Bruce Willis, Alan Rickman, Reginald VelJohnson, Bonnie Bedelia",Its many imitators (and sequels) have never come close to matching the taut thrills of the definitive holiday action classic.
Mad Max: Fury Road,2015,97%,George Miller,"Tom Hardy, Charlize Theron, Nicholas Hoult, Rosie Huntington-Whiteley","With exhilarating action and a surprising amount of narrative heft, Mad Max: Fury Road brings George Miller's post-apocalyptic franchise roaring vigorously back to life."
